date,prec_AGCD,prec_SILO,PET_morton,sf_mmd
1970-10-21,0.0,0.681674,5.760762,0.649737
1970-10-22,0.154725,0.195405,6.228762,0.431861
1970-10-23,0.0,0.0,6.266857,0.359051
1970-10-24,0.0,0.0,6.012762,0.306805
1970-10-25,0.001081,0.0,5.168762,0.28624
1970-10-26,0.000675,0.0,5.351619,0.255115
1970-10-27,0.063047,0.0,5.515619,0.254559
1970-10-28,0.816715,1.057903,5.788953,0.245111
1970-10-29,0.0,0.0,5.319048,0.230104
1970-10-30,0.0,0.0,5.718857,0.230104
1970-10-31,0.0,0.0,4.968381,0.230104
1970-11-01,0.0,0.0,4.727048,0.230104
1970-11-02,0.098849,0.0,6.053333,0.230104
1970-11-03,1.954288,1.411565,3.635619,0.230104
1970-11-04,2.998544,1.900173,5.017905,0.230104
1970-11-05,4.062669,6.922852,5.438667,0.253448
1970-11-06,6.399723,3.603011,3.827238,0.369611
1970-11-07,4.424965,6.555552,3.996762,0.334595
1970-11-08,4.473988,1.144726,6.279238,0.345156
1970-11-09,0.816975,0.0,5.699048,0.362386
1970-11-10,0.288683,0.042286,6.415048,0.330149
1970-11-11,0.001122,0.0,5.452,0.261229
1970-11-12,0.052738,0.118041,5.664,0.23066
1970-11-13,0.113023,0.313497,4.056762,0.230104
1970-11-14,3.13221,2.831027,5.105524,0.230104
1970-11-15,1.211747,0.811752,4.684381,0.230104
1970-11-16,2.2895,2.227,4.896381,0.221211
1970-11-17,3.179269,2.160905,4.532571,0.225102
1970-11-18,1.336062,0.947557,5.525333,0.244555
1970-11-19,0.85314,3.137472,4.545905,0.230104
1970-11-20,3.562829,0.438821,5.368191,0.239552
1970-11-21,5.922915,5.220522,4.865714,0.294577
1970-11-22,8.382541,5.682772,4.304762,0.339598
1970-11-23,15.907857,14.18398,2.469905,0.33404
1970-11-24,20.597453,27.681289,3.040191,0.726439
1970-11-25,6.636295,6.18829,3.71581,1.242783
1970-11-26,2.47013,3.562838,5.394095,0.849272
1970-11-27,0.0,0.0,6.319238,0.471879
1970-11-28,0.0,0.0,5.773143,0.370167
1970-11-29,0.0,0.0,5.236191,0.313475
1970-11-30,0.000225,0.0,4.773714,0.280126
1970-12-01,0.337294,0.206056,4.953714,0.260673
1970-12-02,1.840508,1.22107,4.772191,0.23066
1970-12-03,2.699014,1.104707,5.920381,0.230104
1970-12-04,0.040437,0.0,5.74381,0.230104
1970-12-05,0.0,0.0,5.552381,0.230104
1970-12-06,0.0,0.026826,4.375238,0.221211
1970-12-07,10.442046,6.268125,4.399048,0.215653
1970-12-08,15.299608,11.973668,4.357714,0.278459
1970-12-09,43.744864,41.690849,6.415048,1.676867
1970-12-10,0.0,0.0,5.533714,1.050474
1970-12-11,0.0,0.0,6.003048,0.430194
